item_type	gene_or_pathway	direction	statistical_evidence	biological_meaning	why_it_matters_in_context
gene	TK1	upregulated	padj=1.77e-49; shrunken log2FC=3.112	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	RRM2	upregulated	padj=2.15e-46; shrunken log2FC=3.713	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	PLK1	upregulated	padj=2.61e-46; shrunken log2FC=3.773	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	UBE2C	upregulated	padj=1.02e-41; shrunken log2FC=3.459	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	CCNA2	upregulated	padj=1.21e-40; shrunken log2FC=3.641	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	FOXM1	upregulated	padj=2e-40; shrunken log2FC=2.982	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	IFI27	upregulated	padj=2.19e-40; shrunken log2FC=8.551	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	TPX2	upregulated	padj=2.19e-40; shrunken log2FC=3.062	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	AURKB	upregulated	padj=2.71e-39; shrunken log2FC=3.109	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	CDC20	upregulated	padj=1.37e-38; shrunken log2FC=3.547	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	HJURP	upregulated	padj=2.16e-37; shrunken log2FC=3.128	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	PKMYT1	upregulated	padj=2.64e-36; shrunken log2FC=3.109	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	MKI67	upregulated	padj=5.05e-36; shrunken log2FC=3.056	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	IGHV1-24	upregulated	padj=5.96e-36; shrunken log2FC=5.688	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	BIRC5	upregulated	padj=8.65e-36; shrunken log2FC=3.724	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	KIF4A	upregulated	padj=9.49e-36; shrunken log2FC=3.404	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	SHCBP1	upregulated	padj=1.17e-35; shrunken log2FC=3.1	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	DTL	upregulated	padj=7.74e-35; shrunken log2FC=3.053	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	MZB1	upregulated	padj=7.74e-35; shrunken log2FC=3.546	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
gene	ASPM	upregulated	padj=9.86e-35; shrunken log2FC=2.865	Among the strongest upregulated gene-level signals in disease samples.	This gene contributes to the gene-level signature separating disease and healthy control PBMC samples.
pathway	immunoglobulin mediated immune response	upregulated	GO Biological Process; adjusted p-value=3.79e-31; gene ratio=59/635; count=59	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	B cell mediated immunity	upregulated	GO Biological Process; adjusted p-value=6.5e-31; gene ratio=59/635; count=59	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	immunoglobulin production	upregulated	GO Biological Process; adjusted p-value=3.01e-26; gene ratio=52/635; count=52	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	production of molecular mediator of immune response	upregulated	GO Biological Process; adjusted p-value=4.43e-20; gene ratio=58/635; count=58	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	upregulated	GO Biological Process; adjusted p-value=2.34e-19; gene ratio=65/635; count=65	Antigen presentation or adaptive immune response	This may reflect immune recognition and coordination of adaptive immune responses in disease.
pathway	lymphocyte mediated immunity	upregulated	GO Biological Process; adjusted p-value=6.67e-19; gene ratio=63/635; count=63	Antigen presentation or adaptive immune response	This may reflect immune recognition and coordination of adaptive immune responses in disease.
pathway	Cell Cycle Checkpoints	upregulated	Reactome; adjusted p-value=5.88e-17; gene ratio=56/409; count=56	Cell-cycle or proliferative activity	Cell-cycle signals may indicate changes in proliferating immune-cell subsets or sample composition.
pathway	leukocyte mediated immunity	upregulated	GO Biological Process; adjusted p-value=1.62e-15; gene ratio=66/635; count=66	Innate immune cell activation	This suggests activation or altered abundance of innate immune cell populations in PBMC disease samples.
pathway	antimicrobial humoral response	upregulated	GO Biological Process; adjusted p-value=3.87e-15; gene ratio=25/635; count=25	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	antibacterial humoral response	upregulated	GO Biological Process; adjusted p-value=8.11e-15; gene ratio=19/635; count=19	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	nuclear division	upregulated	GO Biological Process; adjusted p-value=1.01e-14; gene ratio=61/635; count=61	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	Hemostasis	upregulated	Reactome; adjusted p-value=3.32e-14; gene ratio=70/409; count=70	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	Cell cycle	upregulated	KEGG; adjusted p-value=1.26e-13; gene ratio=38/317; count=38	Cell-cycle or proliferative activity	Cell-cycle signals may indicate changes in proliferating immune-cell subsets or sample composition.
pathway	RHO GTPase Effectors	upregulated	Reactome; adjusted p-value=4.14e-12; gene ratio=48/409; count=48	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	Deposition of new CENPA-containing nucleosomes at the centromere	upregulated	Reactome; adjusted p-value=1.47e-11; gene ratio=20/409; count=20	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	Nucleosome assembly	upregulated	Reactome; adjusted p-value=1.47e-11; gene ratio=20/409; count=20	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	DNA Damage/Telomere Stress Induced Senescence	upregulated	Reactome; adjusted p-value=1.15e-10; gene ratio=20/409; count=20	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	Resolution of Sister Chromatid Cohesion	upregulated	Reactome; adjusted p-value=3.13e-10; gene ratio=28/409; count=28	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
pathway	Condensation of Prophase Chromosomes	upregulated	Reactome; adjusted p-value=4.74e-10; gene ratio=17/409; count=17	Cell-cycle or proliferative activity	Cell-cycle signals may indicate changes in proliferating immune-cell subsets or sample composition.
pathway	DNA methylation	upregulated	Reactome; adjusted p-value=6.58e-10; gene ratio=15/409; count=15	Biological pathway-level signal	This pathway provides a candidate biological axis for interpreting the disease-control transcriptomic contrast.
