ensembl_gene_id	gene_symbol	entrez_id	gene_name	gene_label
ENSG00000000003	TSPAN6	7105	tetraspanin 6	TSPAN6
ENSG00000000419	DPM1	8813	dolichyl-phosphate mannosyltransferase subunit 1, catalytic	DPM1
ENSG00000000457	SCYL3	57147	SCY1 like pseudokinase 3	SCYL3
ENSG00000000460	FIRRM	55732	FIGNL1 interacting regulator of recombination and mitosis	FIRRM
ENSG00000000938	FGR	2268	FGR proto-oncogene, Src family tyrosine kinase	FGR
ENSG00000000971	CFH	3075	complement factor H	CFH
ENSG00000001036	FUCA2	2519	alpha-L-fucosidase 2	FUCA2
ENSG00000001084	GCLC	2729	glutamate-cysteine ligase catalytic subunit	GCLC
ENSG00000001167	NFYA	4800	nuclear transcription factor Y subunit alpha	NFYA
ENSG00000001460	STPG1	90529	sperm tail PG-rich repeat containing 1	STPG1
ENSG00000001461	NIPAL3	57185	NIPA like domain containing 3	NIPAL3
ENSG00000001497	LAS1L	81887	LAS1 like ribosome biogenesis factor	LAS1L
ENSG00000001561	ENPP4	22875	ectonucleotide pyrophosphatase/phosphodiesterase 4	ENPP4
ENSG00000001629	ANKIB1	54467	ankyrin repeat and IBR domain containing 1	ANKIB1
ENSG00000001630	CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1	CYP51A1
ENSG00000001631	KRIT1	889	KRIT1 ankyrin repeat containing	KRIT1
ENSG00000002016	RAD52	5893	RAD52 homolog, DNA repair protein	RAD52
ENSG00000002330	BAD	572	BCL2 associated agonist of cell death	BAD
ENSG00000002549	LAP3	51056	leucine aminopeptidase 3	LAP3
ENSG00000002586	CD99	4267	CD99 molecule (Xg blood group)	CD99
ENSG00000002587	HS3ST1	9957	heparan sulfate-glucosamine 3-sulfotransferase 1	HS3ST1
ENSG00000002745	WNT16	51384	Wnt family member 16	WNT16
ENSG00000002822	MAD1L1	8379	mitotic arrest deficient 1 like 1	MAD1L1
ENSG00000002834	LASP1	3927	LIM and SH3 protein 1	LASP1
ENSG00000002919	SNX11	29916	sorting nexin 11	SNX11
ENSG00000002933	TMEM176A	55365	transmembrane protein 176A	TMEM176A
ENSG00000003056	M6PR	4074	mannose-6-phosphate receptor, cation dependent	M6PR
ENSG00000003096	KLHL13	90293	kelch like family member 13	KLHL13
ENSG00000003147	ICA1	3382	islet cell autoantigen 1	ICA1
ENSG00000003249	DBNDD1	79007	dysbindin domain containing 1	DBNDD1
ENSG00000003393	ALS2	57679	alsin Rho guanine nucleotide exchange factor ALS2	ALS2
ENSG00000003400	CASP10	843	caspase 10	CASP10
ENSG00000003402	CFLAR	8837	CASP8 and FADD like apoptosis regulator	CFLAR
ENSG00000003436	TFPI	7035	tissue factor pathway inhibitor	TFPI
ENSG00000003509	NDUFAF7	55471	NADH:ubiquinone oxidoreductase complex assembly factor 7	NDUFAF7
ENSG00000003756	RBM5	10181	RNA binding motif protein 5	RBM5
ENSG00000003987	MTMR7	9108	myotubularin related protein 7	MTMR7
ENSG00000004059	ARF5	381	ADP ribosylation factor 5	ARF5
ENSG00000004139	SARM1	23098	sterile alpha and TIR motif containing 1	SARM1
ENSG00000004142	POLDIP2	26073	DNA polymerase delta interacting protein 2	POLDIP2
ENSG00000004399	PLXND1	23129	plexin D1	PLXND1
ENSG00000004455	AK2	204	adenylate kinase 2	AK2
ENSG00000004468	CD38	952	CD38 molecule	CD38
ENSG00000004478	FKBP4	2288	FKBP prolyl isomerase 4	FKBP4
ENSG00000004487	KDM1A	23028	lysine demethylase 1A	KDM1A
ENSG00000004534	RBM6	10180	RNA binding motif protein 6	RBM6
ENSG00000004660	CAMKK1	84254	calcium/calmodulin dependent protein kinase kinase 1	CAMKK1
ENSG00000004700	RECQL	5965	RecQ like helicase	RECQL
ENSG00000004766	VPS50	55610	VPS50 subunit of EARP/GARPII complex	VPS50
ENSG00000004777	ARHGAP33	115703	Rho GTPase activating protein 33	ARHGAP33
ENSG00000004779	NDUFAB1	4706	NADH:ubiquinone oxidoreductase subunit AB1	NDUFAB1
ENSG00000004799	PDK4	5166	pyruvate dehydrogenase kinase 4	PDK4
ENSG00000004809	SLC22A16	85413	solute carrier family 22 member 16	SLC22A16
ENSG00000004838	ZMYND10	51364	zinc finger MYND-type containing 10	ZMYND10
ENSG00000004864	SLC25A13	10165	solute carrier family 25 member 13	SLC25A13
ENSG00000004866	ST7	7982	suppression of tumorigenicity 7	ST7
ENSG00000004897	CDC27	996	cell division cycle 27	CDC27
ENSG00000004961	HCCS	3052	holocytochrome c synthase	HCCS
ENSG00000004975	DVL2	1856	dishevelled segment polarity protein 2	DVL2
ENSG00000005007	UPF1	5976	UPF1 RNA helicase and ATPase	UPF1
ENSG00000005020	SKAP2	8935	src kinase associated phosphoprotein 2	SKAP2
ENSG00000005022	SLC25A5	292	solute carrier family 25 member 5	SLC25A5
ENSG00000005059	MCUB	55013	mitochondrial calcium uniporter dominant negative subunit beta	MCUB
ENSG00000005075	POLR2J	5439	RNA polymerase II subunit J	POLR2J
ENSG00000005100	DHX33	56919	DEAH-box helicase 33	DHX33
ENSG00000005102	MEOX1	4222	mesenchyme homeobox 1	MEOX1
ENSG00000005156	LIG3	3980	DNA ligase 3	LIG3
ENSG00000005175	RPAP3	79657	RNA polymerase II associated protein 3	RPAP3
ENSG00000005187	ACSM3	6296	acyl-CoA synthetase medium chain family member 3	ACSM3
ENSG00000005189	REXO5	81691	RNA exonuclease 5	REXO5
ENSG00000005194	CIAPIN1	57019	cytokine induced apoptosis inhibitor 1	CIAPIN1
ENSG00000005206	SPPL2B	56928	signal peptide peptidase like 2B	SPPL2B
ENSG00000005238	ATOSB	80256	atos homolog B	ATOSB
ENSG00000005243	COPZ2	51226	COPI coat complex subunit zeta 2	COPZ2
ENSG00000005249	PRKAR2B	5577	protein kinase cAMP-dependent type II regulatory subunit beta	PRKAR2B
ENSG00000005302	MSL3	10943	MSL complex subunit 3	MSL3
ENSG00000005339	CREBBP	1387	CREB binding protein	CREBBP
