ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0007186	G protein-coupled receptor signaling pathway	13/77	411/11812	2.1974782647539305e-6	0.0037203307022284043	0.003041772545422546	CYSLTR2/ADGRD1/GPR132/GPR18/HCAR2/ADGRE3/HCAR3/CCRL2/CXCR4/CCL4/SORCS3/CCL20/OR2B11	13
GO:0060326	cell chemotaxis	9/77	213/11812	9.496919827410503e-6	0.006696977777500538	0.0054755033278908235	KLRC4-KLRK1/GPR18/IL23A/CCRL2/CXCR4/IL1B/CCL4/CCL20/TNFAIP6	9
GO:0030595	leukocyte chemotaxis	8/77	166/11812	1.186706044447821e-5	0.006696977777500538	0.0054755033278908235	KLRC4-KLRK1/GPR18/IL23A/CXCR4/IL1B/CCL4/CCL20/TNFAIP6	8
GO:0006935	chemotaxis	10/77	307/11812	2.8528471137237956e-5	0.008727338624217158	0.007135542817698612	KLRC4-KLRK1/SEMA4C/GPR18/IL23A/CCRL2/CXCR4/IL1B/CCL4/CCL20/TNFAIP6	10
GO:0042330	taxis	10/77	307/11812	2.8528471137237956e-5	0.008727338624217158	0.007135542817698612	KLRC4-KLRK1/SEMA4C/GPR18/IL23A/CCRL2/CXCR4/IL1B/CCL4/CCL20/TNFAIP6	10
GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	3/77	10/11812	3.09297293238647e-5	0.008727338624217158	0.007135542817698612	IL23R/IL23A/IL1B	3
GO:0032604	granulocyte macrophage colony-stimulating factor production	3/77	11/11812	4.2328850322661925e-5	0.00895784294953333	0.007324005022934267	IL23R/IL23A/IL1B	3
GO:0032645	regulation of granulocyte macrophage colony-stimulating factor production	3/77	11/11812	4.2328850322661925e-5	0.00895784294953333	0.007324005022934267	IL23R/IL23A/IL1B	3
GO:0050920	regulation of chemotaxis	7/77	154/11812	6.256930184909431e-5	0.011298149853349915	0.009237458921972917	KLRC4-KLRK1/SEMA4C/GPR18/IL23A/CXCR4/CCL4/TNFAIP6	7
GO:0002686	negative regulation of leukocyte migration	4/77	34/11812	6.673449411311231e-5	0.011298149853349915	0.009237458921972917	KLRC4-KLRK1/CD200R1/GPR18/TNFAIP6	4
GO:0050900	leukocyte migration	9/77	280/11812	8.178583706622856e-5	0.012422312988164392	0.010156583815361194	KLRC4-KLRK1/CD200R1/GPR18/IL23A/CXCR4/IL1B/CCL4/CCL20/TNFAIP6	9
GO:0002689	negative regulation of leukocyte chemotaxis	3/77	14/11812	9.207250518936984e-5	0.012422312988164392	0.010156583815361194	KLRC4-KLRK1/GPR18/TNFAIP6	3
GO:0002685	regulation of leukocyte migration	7/77	166/11812	1.0042159749266997e-4	0.012422312988164392	0.010156583815361194	KLRC4-KLRK1/CD200R1/GPR18/IL23A/CCL4/CCL20/TNFAIP6	7
GO:0030593	neutrophil chemotaxis	5/77	72/11812	1.0272438383597253e-4	0.012422312988164392	0.010156583815361194	IL23A/IL1B/CCL4/CCL20/TNFAIP6	5
GO:0002827	positive regulation of T-helper 1 type immune response	3/77	16/11812	1.4032548277555132e-4	0.015838069489267224	0.012949334024550879	IL23R/IL23A/IL1B	3
GO:0050922	negative regulation of chemotaxis	4/77	42/11812	1.54831471359841e-4	0.016383105063263174	0.013394959528828349	KLRC4-KLRK1/SEMA4C/GPR18/TNFAIP6	4
GO:0060485	mesenchyme development	7/77	180/11812	1.662713036610196e-4	0.016558665711653306	0.013538499338343082	SEMA4C/DCHS1/ADAMTS5/NOG/IL1B/OLFM1/HES1	7
