ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0016064	immunoglobulin mediated immune response	59/635	158/11812	9.476127613346001e-35	3.7932938836224046e-31	3.4842225003597457e-31	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/IGHG2/IGHG4/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/SERPING1/TNFSF4/IGLC7/IGHV1-69D	59
GO:0019724	B cell mediated immunity	59/635	161/11812	3.2452455144007786e-34	6.4953588970731585e-31	5.96612767463259e-31	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/IGHG2/IGHG4/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/SERPING1/TNFSF4/IGLC7/IGHV1-69D	59
GO:0002377	immunoglobulin production	52/635	147/11812	2.253289506712003e-29	3.0066392984560493e-26	2.7616632445421145e-26	MZB1/IGKV3-15/POLQ/IGLV9-49/IGLV2-14/IGLV3-25/IGKV4-1/IGKV1-17/IGLV2-23/EXO1/IGKV1-5/IGKV3D-11/IGLV3-27/IGLV4-69/IGKV5-2/IGLV1-40/IGLV2-11/IGLV7-46/IGLV1-51/IGKV1-12/IGLV6-57/IGLV1-47/IGLV3-10/IGKV1-16/IGLV5-45/IGKV2-30/IGLV3-16/IGKV2-24/IGLV1-44/IGLV5-37/IGKV1-8/IGKV3D-20/IGKV1-27/IGLV3-19/IGLV3-21/IGKV1-6/IGKV2D-29/IGLV4-60/IGLV3-9/IGKV3-20/IGLV2-8/IGKV1D-8/IGLV8-61/IGLV1-36/IGLV7-43/IGKV1-9/IGLV2-18/IGKV1D-13/EPHB2/IGKV2-29/IGLV10-54/TNFSF4	52
GO:0002440	production of molecular mediator of immune response	58/635	239/11812	4.4232262448327346e-23	4.426543664516359e-20	4.065876124526511e-20	MZB1/IGKV3-15/POLQ/IGLV9-49/IGLV2-14/IGLV3-25/IGKV4-1/IGKV1-17/IGLV2-23/EXO1/IGKV1-5/IGKV3D-11/IGLV3-27/IGLV4-69/IGKV5-2/IGLV1-40/IGLV2-11/IGLV7-46/IGLV1-51/IGKV1-12/IGLV6-57/IGLV1-47/IGLV3-10/IGKV1-16/IGLV5-45/IGKV2-30/IGLV3-16/IGKV2-24/IGLV1-44/IGLV5-37/IGKV1-8/IGKV3D-20/IGKV1-27/IGLV3-19/IGLV3-21/IGKV1-6/IGKV2D-29/IGLV4-60/IGLV3-9/IGKV3-20/IGLV2-8/IGKV1D-8/IGLV8-61/IGLV1-36/IGLV7-43/IGKV1-9/ELANE/IGLV2-18/KIR2DL4/IGKV1D-13/FFAR2/EPHB2/IGKV2-29/FZD5/IGLV10-54/TNFSF4/ARG1/RSAD2	58
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	65/635	307/11812	2.9180827307405213e-22	2.3362170342308617e-19	2.145865890205609e-19	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/EBI3/IGHG2/IGHG4/FCGR1A/HLX/IGHV3-73/IGLL5/EPHB2/IGHV2-70D/IGHV3-72/FZD5/SERPING1/TNFSF4/ARG1/IGLC7/RSAD2/IGHV1-69D	65
GO:0002449	lymphocyte mediated immunity	63/635	296/11812	9.998406120511192e-22	6.670603283401049e-19	6.1270934349027355e-19	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/IGHG2/KIR2DL4/IGHG4/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/FZD5/SERPING1/TNFSF4/ARG1/IGLC7/RSAD2/IGHV1-69D	63
GO:0002443	leukocyte mediated immunity	66/635	372/11812	2.8336826360494264e-18	1.620461656015122e-15	1.488429089882804e-15	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/GATA1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/ELANE/IGHV1-58/IGHV4-4/IGHG2/KIR2DL4/IGHG4/GATA2/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/FZD5/SERPING1/TNFSF4/ARG1/IGLC7/RSAD2/IGHV1-69D	66
GO:0019730	antimicrobial humoral response	25/635	55/11812	7.740509441046228e-18	3.873157411563506e-15	3.5575788786282205e-15	IGHG1/JCHAIN/H2BC4/IGHG3/H2BC7/IGHA2/H2BC21/H2BC12/IGHA1/H2BC11/H2BC8/PPBP/PF4/PF4V1/S100A12/IGKV3-20/S100A9/IGHM/ELANE/IGHG2/ANG/CXCL5/IGHG4/RNASE3/CAMP	25
GO:0019731	antibacterial humoral response	19/635	30/11812	1.8242036856530768e-17	8.113652615188073e-15	7.452565466650523e-15	IGHG1/JCHAIN/H2BC4/IGHG3/H2BC7/IGHA2/H2BC21/H2BC12/IGHA1/H2BC11/H2BC8/IGKV3-20/IGHM/ELANE/IGHG2/ANG/IGHG4/RNASE3/CAMP	19
GO:0000280	nuclear division	61/635	338/11812	2.5203103373771197e-17	1.0088802280520611e-14	9.26678316679819e-15	PLK1/UBE2C/TPX2/AURKB/CDC20/PKMYT1/MKI67/BIRC5/KIF4A/ASPM/BUB1/CCNB2/CDT1/ESPL1/TOP2A/MYBL2/ZWINT/CDCA2/CDCA5/DLGAP5/NCAPG/BUB1B/KIF2C/KIFC1/RAD54L/TRIP13/NCAPH/ANLN/SPC24/RAD51/KIF11/CCNB1/NUF2/KIF14/CENPF/CDCA8/NEK2/TTK/CDK1/KNL1/KIF18B/CENPE/NDC80/CHEK1/KIF23/EGF/SPAG5/SGO1/PTTG1/MAD2L1/AURKA/RAD51AP1/FBXO5/CAV2/EME1/CCNE2/CCNE1/SPHK1/CENPI/GPR3/PDE3A	61
