ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007088	regulation of mitotic nuclear division	96	0.8401188748946786	2.2814127812710328	1e-10	7.49718309859155e-9	6.628613787991105e-9	635	tags=34%, list=5%, signal=33%	5347/11065/9212/991/9088/4288/332/699/9700/11130/157313/9787/701/9319/147841/891/83540/1063/55143/4751/7272/57082/10403/1111/1950/4085/6790/54998/26271/858/1104/51529/10459
GO:0051783	regulation of nuclear division	108	0.8164901864046448	2.2254969035923198	1e-10	7.49718309859155e-9	6.628613787991105e-9	635	tags=31%, list=5%, signal=30%	5347/11065/9212/991/9088/4288/332/699/9700/11130/157313/9787/701/9319/147841/891/83540/1063/55143/4751/7272/57082/10403/1111/1950/4085/6790/10635/54998/26271/858/1104/51529/10459
GO:0051306	mitotic sister chromatid separation	59	0.8727491498193061	2.225416835326916	1e-10	7.49718309859155e-9	6.628613787991105e-9	635	tags=39%, list=5%, signal=37%	5347/11065/9212/991/332/699/9700/11130/9787/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085/26271/51529/10459
GO:0010965	regulation of mitotic sister chromatid separation	56	0.8764666559682791	2.212099446811342	1e-10	7.49718309859155e-9	6.628613787991105e-9	635	tags=41%, list=5%, signal=39%	5347/11065/9212/991/332/699/9700/11130/9787/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085/26271/51529/10459
GO:0051784	negative regulation of nuclear division	53	0.8751819311501847	2.210062072138491	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=38%, list=2%, signal=37%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/1111/4085/54998/26271
GO:0051304	chromosome separation	76	0.8373167995396509	2.209557805114287	1e-10	7.49718309859155e-9	6.628613787991105e-9	974	tags=37%, list=7%, signal=34%	5347/11065/9212/991/332/699/9700/11130/9787/64151/701/9319/23397/147841/891/83540/1063/55143/7272/57082/10403/4085/26271/51529/10459/10051/10592/25906
GO:0033045	regulation of sister chromatid segregation	97	0.8101857835687316	2.2068580622585414	1e-10	7.49718309859155e-9	6.628613787991105e-9	635	tags=28%, list=5%, signal=27%	5347/11065/9212/991/332/699/9700/11130/9787/701/990/9319/147841/891/83540/1063/55143/7272/983/57082/1062/10403/4085/26271/116028/51529/10459
GO:0030071	regulation of mitotic metaphase/anaphase transition	85	0.8229682349093667	2.201899709354128	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=27%, list=2%, signal=27%	5347/11065/9212/991/332/699/9700/11130/9787/701/990/9319/147841/891/83540/1063/55143/7272/57082/1062/10403/4085/26271
GO:1905818	regulation of chromosome separation	69	0.8454821042880938	2.201523729045428	1e-10	7.49718309859155e-9	6.628613787991105e-9	974	tags=41%, list=7%, signal=38%	5347/11065/9212/991/332/699/9700/11130/9787/64151/701/9319/23397/147841/891/83540/1063/55143/7272/57082/10403/4085/26271/51529/10459/10051/10592/25906
GO:0051985	negative regulation of chromosome segregation	46	0.8882580147426636	2.1977910455969782	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=39%, list=2%, signal=38%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085/26271
