category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	38/317	150/5715	4.584505466715857e-16	1.2607390033468606e-13	1.1340618786086594e-13	5347/890/9212/991/9088/699/9133/81620/9700/113130/701/8318/990/9319/1870/993/157570/891/4171/90381/7272/983/4998/1869/1031/57082/4173/10403/1111/151648/4175/9232/4085/26271/23594/9134/1029/898	38
Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	23/317	77/5715	9.340612828797867e-12	1.2843342639597066e-9	1.1552863235618414e-9	8347/714/713/85235/8343/8349/85236/8970/55766/8339/8365/8357/8334/102723407/8969/3012/8294/8345/3017/712/1991/2209/8332	23
Organismal Systems	Immune system	hsa04613	Neutrophil extracellular trap formation	28/317	132/5715	3.9418885994740377e-10	3.6133978828512013e-8	3.25032919605754e-8	8347/85235/8343/8349/85236/8970/3674/55766/6403/8339/8365/8357/8334/6300/102723407/8969/3012/8294/8345/3017/3690/2811/1991/2209/8332/7450/820/4353	28
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	16/317	51/5715	6.727034973600561e-9	4.6248365443503857e-7	4.160140049463505e-7	3161/6382/3674/2815/3672/3693/51206/3690/3915/2811/3679/2335/7450/3680/3673/3696	16
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	12/317	47/5715	6.20687276198472e-6	3.413780019091596e-4	3.0707686296134934e-4	714/713/1191/7035/5627/712/9002/2162/7450/11326/2152/710	12
Human Diseases	Substance dependence	hsa05034	Alcoholism	18/317	104/5715	1.2838942014473767e-5	5.884515089967144e-4	5.293248023511114e-4	8347/85235/8343/8349/85236/8970/55766/8339/8365/8357/8334/8969/3012/8294/8345/3017/2791/8332	18
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	16/317	97/5715	7.177220377122094e-5	0.002819622291012251	0.002536310960336379	5347/991/9088/699/9133/9700/891/983/151648/9232/4085/6790/26271/6300/9134/898	16
Cellular Processes	Cellular community - eukaryotes	hsa04510	Focal adhesion	20/317	148/5715	1.696731842960385e-4	0.005832515710176324	0.005246473461785401	857/10398/1950/3674/858/3672/3693/3690/3915/4638/3679/2335/5602/1793/7450/3680/3673/5154/2012/3696	20
NA	NA	hsa04820	Cytoskeleton in muscle cells	19/317	140/5715	2.329841112285771e-4	0.007118958954206523	0.006403656858329312	81624/6382/10398/3674/7138/3672/3693/3690/7111/2274/255631/3679/2335/3680/7125/3673/2200/6383/3696	19
Cellular Processes	Cell motility	hsa04814	Motor proteins	18/317	132/5715	3.1971881667580676e-4	0.008792267458584685	0.00790883388619101	24137/10112/11004/3833/3832/56992/9928/146909/1062/10398/140465/9493/1769/7138/84790/81027/7125/4645	18
NA	NA	hsa04518	Integrin signaling	15/317	100/5715	3.5655590803667546e-4	0.008913897700916886	0.008018242908001792	1950/3674/3987/3672/3693/3690/3915/3679/2335/7450/3680/3673/5154/2200/3696	15
Cellular Processes	Cell growth and death	hsa04115	p53 signaling pathway	12/317	70/5715	3.988910163106596e-4	0.009141252457119282	0.008222753406403948	6241/9133/51512/891/983/1111/7161/9134/1029/898/9540/598	12
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	10/317	55/5715	7.491414952268971e-4	0.015242776506249046	0.013711205661123544	3674/3672/3693/3690/3679/6547/6262/3680/3673/3696	10
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	11/317	65/5715	7.759958948635878e-4	0.015242776506249046	0.013711205661123544	3674/102723407/3672/3693/3690/3679/6547/6262/3680/3673/3696	11
Organismal Systems	Endocrine system	hsa04914	Progesterone-mediated oocyte maturation	12/317	78/5715	0.0010923777116123435	0.020026924712892965	0.01801464998097549	5347/890/9088/699/9133/993/891/983/4085/6790/6300/5602	12
Organismal Systems	Immune system	hsa04640	Hematopoietic cell lineage	12/317	81/5715	0.0015319550164451952	0.026330476845151794	0.023684830846356638	3674/952/102723407/2815/3672/3690/2811/2209/3673/947/7850/2322	12
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	10/317	62/5715	0.001950593750478928	0.03155372243421795	0.02838325271594725	3674/3672/3693/3690/3679/6547/6262/3680/3673/3696	10
