source	direction	pathway_id	pathway	adjusted_pvalue	gene_ratio	gene_count	leading_genes
GO Biological Process	upregulated	GO:0016064	immunoglobulin mediated immune response	3.7932938836224046e-31	59/635	59	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/IGHG2/IGHG4/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/SERPING1/TNFSF4/IGLC7/IGHV1-69D
GO Biological Process	upregulated	GO:0019724	B cell mediated immunity	6.4953588970731585e-31	59/635	59	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/IGHG2/IGHG4/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/SERPING1/TNFSF4/IGLC7/IGHV1-69D
GO Biological Process	upregulated	GO:0002377	immunoglobulin production	3.0066392984560493e-26	52/635	52	MZB1/IGKV3-15/POLQ/IGLV9-49/IGLV2-14/IGLV3-25/IGKV4-1/IGKV1-17/IGLV2-23/EXO1/IGKV1-5/IGKV3D-11/IGLV3-27/IGLV4-69/IGKV5-2/IGLV1-40/IGLV2-11/IGLV7-46/IGLV1-51/IGKV1-12/IGLV6-57/IGLV1-47/IGLV3-10/IGKV1-16/IGLV5-45/IGKV2-30/IGLV3-16/IGKV2-24/IGLV1-44/IGLV5-37/IGKV1-8/IGKV3D-20/IGKV1-27/IGLV3-19/IGLV3-21/IGKV1-6/IGKV2D-29/IGLV4-60/IGLV3-9/IGKV3-20/IGLV2-8/IGKV1D-8/IGLV8-61/IGLV1-36/IGLV7-43/IGKV1-9/IGLV2-18/IGKV1D-13/EPHB2/IGKV2-29/IGLV10-54/TNFSF4
GO Biological Process	upregulated	GO:0002440	production of molecular mediator of immune response	4.426543664516359e-20	58/635	58	MZB1/IGKV3-15/POLQ/IGLV9-49/IGLV2-14/IGLV3-25/IGKV4-1/IGKV1-17/IGLV2-23/EXO1/IGKV1-5/IGKV3D-11/IGLV3-27/IGLV4-69/IGKV5-2/IGLV1-40/IGLV2-11/IGLV7-46/IGLV1-51/IGKV1-12/IGLV6-57/IGLV1-47/IGLV3-10/IGKV1-16/IGLV5-45/IGKV2-30/IGLV3-16/IGKV2-24/IGLV1-44/IGLV5-37/IGKV1-8/IGKV3D-20/IGKV1-27/IGLV3-19/IGLV3-21/IGKV1-6/IGKV2D-29/IGLV4-60/IGLV3-9/IGKV3-20/IGLV2-8/IGKV1D-8/IGLV8-61/IGLV1-36/IGLV7-43/IGKV1-9/ELANE/IGLV2-18/KIR2DL4/IGKV1D-13/FFAR2/EPHB2/IGKV2-29/FZD5/IGLV10-54/TNFSF4/ARG1/RSAD2
GO Biological Process	upregulated	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	2.3362170342308617e-19	65/635	65	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/EBI3/IGHG2/IGHG4/FCGR1A/HLX/IGHV3-73/IGLL5/EPHB2/IGHV2-70D/IGHV3-72/FZD5/SERPING1/TNFSF4/ARG1/IGLC7/RSAD2/IGHV1-69D
GO Biological Process	upregulated	GO:0002449	lymphocyte mediated immunity	6.670603283401049e-19	63/635	63	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/IGHV1-58/IGHV4-4/IGHG2/KIR2DL4/IGHG4/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/FZD5/SERPING1/TNFSF4/ARG1/IGLC7/RSAD2/IGHV1-69D
Reactome	upregulated	R-HSA-69620	Cell Cycle Checkpoints	5.876331792200471e-17	56/409	56	PLK1/UBE2C/CCNA2/AURKB/CDC20/PKMYT1/BIRC5/BUB1/CCNB2/MCM10/ZWINT/GTSE1/CENPA/CLSPN/BUB1B/KIF2C/CDC45/CDC6/CDC25A/SPC24/SKA1/CCNB1/NUF2/CENPF/EXO1/CDCA8/MCM2/CDK1/ORC1/H2BC4/KNL1/CENPE/H2BC7/MCM4/NDC80/CENPU/CHEK1/H2BC21/H2BC12/H2BC11/SGO1/MCM6/MAD2L1/H2BC8/H4C8/BRCA1/H4C9/ORC6/CENPM/H2BC9/H2BC5/RMI2/CCNE2/CDKN2A/CCNE1/CENPI
GO Biological Process	upregulated	GO:0002443	leukocyte mediated immunity	1.620461656015122e-15	66/635	66	IGHV1-24/IGHV4-59/IGHG1/IGHV1-18/IGKC/IGHV4-34/IGLC3/IGHV3-33/IGHV3-21/IGHV5-51/IGHV3-23/EXO1/IGHV3-20/IGLC2/IGHV3-11/C1QC/IGHG3/C1QB/IGHV4-28/CLU/IGHV4-61/IGHV3-30/IGHA2/IGHV3-49/IGHV3-66/IGHA1/IGHV3-7/IGHV3-43/IGHV2-5/IGHV6-1/GATA1/IGHV3-15/IGHV2-26/IGHV3-48/MPL/IGHV4-39/IGHV1-69-2/IGLC6/IGHV3-53/IGHV3-74/IGHV2-70/IGHV1-3/IGHV3-13/IGHM/IGHV3-64/C1QA/IGHV1-69/ELANE/IGHV1-58/IGHV4-4/IGHG2/KIR2DL4/IGHG4/GATA2/FCGR1A/IGHV3-73/IGLL5/IGHV2-70D/IGHV3-72/FZD5/SERPING1/TNFSF4/ARG1/IGLC7/RSAD2/IGHV1-69D
GO Biological Process	upregulated	GO:0019730	antimicrobial humoral response	3.873157411563506e-15	25/635	25	IGHG1/JCHAIN/H2BC4/IGHG3/H2BC7/IGHA2/H2BC21/H2BC12/IGHA1/H2BC11/H2BC8/PPBP/PF4/PF4V1/S100A12/IGKV3-20/S100A9/IGHM/ELANE/IGHG2/ANG/CXCL5/IGHG4/RNASE3/CAMP
GO Biological Process	upregulated	GO:0019731	antibacterial humoral response	8.113652615188073e-15	19/635	19	IGHG1/JCHAIN/H2BC4/IGHG3/H2BC7/IGHA2/H2BC21/H2BC12/IGHA1/H2BC11/H2BC8/IGKV3-20/IGHM/ELANE/IGHG2/ANG/IGHG4/RNASE3/CAMP
