ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-69620	Cell Cycle Checkpoints	56/409	265/7708	6.731193347308672e-20	5.876331792200471e-17	4.591382409532653e-17	PLK1/UBE2C/CCNA2/AURKB/CDC20/PKMYT1/BIRC5/BUB1/CCNB2/MCM10/ZWINT/GTSE1/CENPA/CLSPN/BUB1B/KIF2C/CDC45/CDC6/CDC25A/SPC24/SKA1/CCNB1/NUF2/CENPF/EXO1/CDCA8/MCM2/CDK1/ORC1/H2BC4/KNL1/CENPE/H2BC7/MCM4/NDC80/CENPU/CHEK1/H2BC21/H2BC12/H2BC11/SGO1/MCM6/MAD2L1/H2BC8/H4C8/BRCA1/H4C9/ORC6/CENPM/H2BC9/H2BC5/RMI2/CCNE2/CDKN2A/CCNE1/CENPI	56
R-HSA-109582	Hemostasis	70/409	452/7708	7.60235604989273e-17	3.318428415778176e-14	2.592803537016047e-14	KIF4A/KIF20A/KIF2C/KIFC1/JCHAIN/KIF11/KIF15/SDC1/KIF18B/CAV1/CENPE/CLU/GAS6/KIF23/HBD/EGF/SPARC/ITGA2B/MANF/SELP/MPIG6B/GATA1/H3C10/PPBP/CD63/PF4/TFPI/GP9/MPL/PDE2A/GRB14/ITGA1/PF4V1/MMRN1/PRKAR2B/GP6/ITGB3/ESAM/GNG11/TUBA1C/GP1BA/CABLES1/ECM1/PROS1/CLEC1B/FN1/SLC8A3/CD109/LY6G6F/EHD3/TUBB1/F2RL3/F13A1/HBB/SYTL4/GATA2/DOCK1/VWF/MGLL/ADRA2A/PDE5A/GPC1/GUCY1B1/JAM3/ITGA2/PDGFA/SDC2/F3/SERPING1/SLC7A11	70
R-HSA-195258	RHO GTPase Effectors	48/409	262/7708	1.422464163579318e-14	4.139370716015815e-12	3.234234308769818e-12	PLK1/AURKB/CDC20/BIRC5/BUB1/ZWINT/CENPA/BUB1B/KIF2C/SPC24/SKA1/NUF2/KIF14/CENPF/DIAPH3/CDCA8/H2BC4/KNL1/CENPE/H2BC7/NDC80/MYL9/CENPU/H2BC21/H2BC12/H2BC11/SGO1/H2AJ/MAD2L1/CIT/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/S100A8/MYLK/CTTN/TUBA1C/S100A9/WASF1/TUBB1/CENPI/PPP1R14A	48
R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	20/409	48/7708	8.401226947586541e-14	1.46685422504861e-11	1.146104223586543e-11	HJURP/CENPA/H2BC4/KNL1/H2BC7/CENPW/CENPU/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/CENPI	20
R-HSA-774815	Nucleosome assembly	20/409	48/7708	8.401226947586541e-14	1.46685422504861e-11	1.146104223586543e-11	HJURP/CENPA/H2BC4/KNL1/H2BC7/CENPW/CENPU/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/CENPI	20
R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	20/409	53/7708	7.935336935413004e-13	1.1545915241025921e-10	9.021225147627416e-11	CCNA2/H1-5/H1-2/H1-3/H2BC4/H1-4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CCNE2/CCNE1	20
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	28/409	112/7708	2.513615099860458e-12	3.1348371173974e-10	2.4493572702399657e-10	PLK1/AURKB/CDC20/BIRC5/BUB1/CCNB2/ZWINT/CENPA/CDCA5/BUB1B/KIF2C/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/CDK1/KNL1/CENPE/NDC80/CENPU/SGO1/MAD2L1/CENPM/TUBA1C/TUBB1/CENPI	28
R-HSA-2299718	Condensation of Prophase Chromosomes	17/409	40/7708	4.345871040010863e-12	4.742431772411854e-10	3.705426886746104e-10	PLK1/CCNB1/CDK1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	17
R-HSA-5334118	DNA methylation	15/409	31/7708	7.961791852918332e-12	6.58469990621662e-10	5.144855054233279e-10	UHRF1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	15
R-HSA-68616	Assembly of the ORC complex at the origin of replication	16/409	36/7708	8.131946340322073e-12	6.58469990621662e-10	5.144855054233279e-10	ORC1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/ORC6/H2BC9/H2BC5	16
