gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement	deseq2_top100	limma_top100
ENSG00000167900	ENSG00000167900	TK1	7083	thymidine kinase 1	3.1122522944589215	1.7653034212713795e-49	upregulated	2.9853286843705713	4.052464333344638	4.1439315526550146e-13	3.2136189190839637e-9	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000171848	ENSG00000171848	RRM2	6241	ribonucleotide reductase regulatory subunit M2	3.713343043955423	2.1525634017695462e-46	upregulated	3.545857628562925	4.594349249494009	5.063529400184706e-12	1.1219334428123542e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000166851	ENSG00000166851	PLK1	5347	polo like kinase 1	3.772785220470218	2.612176055351587e-46	upregulated	3.6473675006144815	2.3917986270678218	3.0253167012617055e-11	2.544740928077765e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000175063	ENSG00000175063	UBE2C	11065	ubiquitin conjugating enzyme E2 C	3.45925068751281	1.0227466888149057e-41	upregulated	3.297211644570505	2.1557285566560402	9.513752952270145e-11	4.310463157202417e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000145386	ENSG00000145386	CCNA2	890	cyclin A2	3.64084735444603	1.2126502048077035e-40	upregulated	3.4457924861257436	2.3883723913532897	1.5196570057840393e-9	2.1778797066911308e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	FALSE
ENSG00000111206	ENSG00000111206	FOXM1	2305	forkhead box M1	2.9818712416966795	1.998680164996232e-40	upregulated	2.856850077838925	1.7519609242232859	2.8805531025194492e-12	8.935475724015331e-9	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000165949	ENSG00000165949	IFI27	3429	interferon alpha inducible protein 27	8.550506750838599	2.1914415657063247e-40	upregulated	7.061526125459039	3.3802195507547217	2.3804394237246768e-5	2.824836684159888e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	FALSE
ENSG00000088325	ENSG00000088325	TPX2	22974	TPX2 microtubule nucleation factor	3.062140267801749	2.1914415657063247e-40	upregulated	2.915403293823691	3.0116467765316024	5.480258564609236e-11	3.269185012964971e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000178999	ENSG00000178999	AURKB	9212	aurora kinase B	3.108790120979148	2.7122889955828235e-39	upregulated	2.9690445057991774	2.0715317762336345	1.201761915912831e-10	4.905086135738949e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000117399	ENSG00000117399	CDC20	991	cell division cycle 20	3.547421347657454	1.3691281103432886e-38	upregulated	3.4839228839190826	2.755704772141464	1.612139630152426e-10	5.304493265277572e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000123485	ENSG00000123485	HJURP	55355	Holliday junction recognition protein	3.1283766101184445	2.160475203707779e-37	upregulated	3.066314330483824	1.6022779158202223	1.129690815353184e-11	1.752150454612788e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
ENSG00000127564	ENSG00000127564	PKMYT1	9088	protein kinase, membrane associated tyrosine/threonine 1	3.108810154200935	2.6445958271581223e-36	upregulated	2.9631297004453065	2.0120283444288245	4.0843604125877383e-11	2.8794740908743556e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	TRUE	TRUE
